modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Gaius,block_mat_mat_mul!,true,true,3,1,Nothing,"Gaius.Multithreaded,Gaius.PointerMatrix{Int64,VectorizationBase.StridedPointer{Int64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Int64,VectorizationBase.StridedPointer{Int64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Int64,VectorizationBase.StridedPointer{Int64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,1
Gaius,block_covec_vec_mul!,true,true,0,1,Nothing,"Gaius.Singlethreaded,Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,209
Gaius,block_covec_vec_mul!,true,true,0,1,Nothing,"Gaius.Multithreaded,SubArray{Float64,2,LinearAlgebra.Adjoint{Float64,Array{Float64,1}},Tuple{UnitRange{Int64},UnitRange{Int64}},false},SubArray{Float64,2,LinearAlgebra.Transpose{Float64,Array{Float64,1}},Tuple{UnitRange{Int64},UnitRange{Int64}},false},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,209
Gaius,PtrArray,true,true,0,1,"Array{Int64,1}","Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/pointermatrix.jl,2
Gaius,block_vec_covec_mul_add!,true,true,3,1,Nothing,"Gaius.Multithreaded,Array{Float64,2},SubArray{Float64,2,Array{Float64,2},Tuple{UnitRange{Int64},UnitRange{Int64}},false},SubArray{Float64,2,Array{Float64,2},Tuple{UnitRange{Int64},UnitRange{Int64}},false},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,392
Gaius,gemm_kernel!,true,true,0,1,Nothing,"Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/kernels.jl,1
Gaius,gemm_kernel!,true,true,0,1,Nothing,"LinearAlgebra.Adjoint{Float64,Array{Float64,1}},SubArray{Float64,2,LinearAlgebra.Adjoint{Float64,Array{Float64,1}},Tuple{UnitRange{Int64},UnitRange{Int64}},false},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/kernels.jl,1
Gaius,add_gemm_kernel!,true,true,0,1,Nothing,"Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{8}},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{8}},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/kernels.jl,11
Gaius,block_covec_vec_mul_add!,true,true,0,1,Nothing,"Gaius.Multithreaded,Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{8}},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,432
Gaius,gemm_kernel!,true,true,0,1,Nothing,"Array{Float64,2},Array{Float64,2},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/kernels.jl,1
Gaius,block_covec_vec_mul_add!,true,true,0,1,Nothing,"Gaius.Singlethreaded,Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{8}},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,432
Gaius,mul!,true,true,0,1,"Array{Float32,1}","Array{Float32,1},Array{Float32,2},Array{Float32,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/public_mul.jl,77
Gaius,block_mat_vec_mul_add!,true,true,0,1,Nothing,"Gaius.Singlethreaded,Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,303
Gaius,block_covec_mat_mul!,true,true,1,1,Nothing,"Gaius.Multithreaded,Gaius.PointerMatrix{Int64,VectorizationBase.StridedPointer{Int64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Int64,VectorizationBase.StridedPointer{Int64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Int64,VectorizationBase.StridedPointer{Int64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,131
Gaius,block_mat_vec_mul_add!,true,true,0,1,Nothing,"Gaius.Singlethreaded,SubArray{Int32,1,Array{Int32,1},Tuple{UnitRange{Int64}},true},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},SubArray{Int32,1,Array{Int32,1},Tuple{UnitRange{Int64}},true},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,341
Gaius,_mul!,true,true,25,6,Nothing,"Gaius.Singlethreaded,Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/matmul.jl,1
Gaius,block_covec_vec_mul_add!,true,true,0,1,Nothing,"Gaius.Singlethreaded,SubArray{Float32,1,Array{Float32,1},Tuple{UnitRange{Int64}},true},Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},SubArray{Float32,1,Array{Float32,1},Tuple{UnitRange{Int64}},true},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,443
Gaius,_mul_add!,true,true,0,1,Nothing,"Gaius.Singlethreaded,LinearAlgebra.Adjoint{Float64,Array{Float64,1}},SubArray{Float64,2,LinearAlgebra.Transpose{Float64,Array{Float64,1}},Tuple{UnitRange{Int64},UnitRange{Int64}},false},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/matmul.jl,18
Gaius,block_covec_mat_mul_add!,true,true,0,1,Nothing,"Gaius.Singlethreaded,SubArray{Float64,2,LinearAlgebra.Adjoint{Float64,Array{Float64,1}},Tuple{UnitRange{Int64},UnitRange{Int64}},false},SubArray{Float64,2,LinearAlgebra.Transpose{Float64,Array{Float64,1}},Tuple{UnitRange{Int64},UnitRange{Int64}},false},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,377
Gaius,block_vec_covec_mul_add!,true,true,0,1,Nothing,"Gaius.Singlethreaded,Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,416
Gaius,add_gemm_kernel!,true,true,0,1,Nothing,"Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/kernels.jl,21
Gaius,mul,true,true,0,1,"Array{Int64,2}","LinearAlgebra.Adjoint{Int64,Array{Int64,2}},LinearAlgebra.Adjoint{Int64,Array{Int64,2}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/public_mul.jl,49
Gaius,block_mat_mat_mul_add!,true,true,0,1,Nothing,"Gaius.Singlethreaded,Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,261
Gaius,add_gemm_kernel!,true,true,0,1,Nothing,"Array{Float64,2},SubArray{Float64,2,Array{Float64,2},Tuple{UnitRange{Int64},UnitRange{Int64}},false},SubArray{Float64,2,Array{Float64,2},Tuple{UnitRange{Int64},UnitRange{Int64}},false}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/kernels.jl,11
Gaius,block_mat_mat_mul!,true,true,0,1,Nothing,"Gaius.Singlethreaded,Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,31
Gaius,PtrMatrix,true,true,0,1,"Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}}","LinearAlgebra.Adjoint{Float32,Array{Float32,2}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/pointermatrix.jl,6
Gaius,block_mat_mat_mul!,true,true,0,1,Nothing,"Gaius.Singlethreaded,Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,31
Gaius,block_mat_vec_mul!,true,true,1,1,Nothing,"Gaius.Multithreaded,Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,53
Gaius,_mul_add!,true,true,25,4,Nothing,"Gaius.Singlethreaded,LinearAlgebra.Adjoint{Float64,Array{Float64,1}},SubArray{Float64,2,LinearAlgebra.Adjoint{Float64,Array{Float64,1}},Tuple{UnitRange{Int64},UnitRange{Int64}},false},SubArray{Float64,2,Array{Float64,2},Tuple{UnitRange{Int64},UnitRange{Int64}},false},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/matmul.jl,18
Gaius,block_covec_mat_mul_add!,true,true,1,1,Nothing,"Gaius.Multithreaded,LinearAlgebra.Adjoint{Float64,Array{Float64,1}},SubArray{Float64,2,LinearAlgebra.Adjoint{Float64,Array{Float64,1}},Tuple{UnitRange{Int64},UnitRange{Int64}},false},SubArray{Float64,2,Array{Float64,2},Tuple{UnitRange{Int64},UnitRange{Int64}},false},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,358
Gaius,block_mat_mat_mul_add!,true,true,0,1,Nothing,"Gaius.Singlethreaded,Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,261
Gaius,block_mat_vec_mul!,true,true,0,1,Nothing,"Gaius.Singlethreaded,Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,75
Gaius,_mul!,true,true,25,6,Nothing,"Gaius.Singlethreaded,Gaius.PointerMatrix{Int64,VectorizationBase.StridedPointer{Int64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Int64,VectorizationBase.StridedPointer{Int64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Int64,VectorizationBase.StridedPointer{Int64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/matmul.jl,1
Gaius,_mul_add!,true,true,6,1,Nothing,"Gaius.Singlethreaded,LinearAlgebra.Transpose{Float32,Array{Float32,1}},LinearAlgebra.Transpose{Float32,Array{Float32,1}},Gaius.PointerMatrix{Float32,VectorizationBase.StridedPointer{Float32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/matmul.jl,68
Gaius,block_mat_mat_mul_add!,true,true,3,1,Nothing,"Gaius.Multithreaded,Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{4},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Int32,VectorizationBase.StridedPointer{Int32,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{4}},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,232
Gaius,block_mat_vec_mul_add!,true,true,1,1,Nothing,"Gaius.Multithreaded,SubArray{Float64,2,LinearAlgebra.Adjoint{Float64,Array{Float64,1}},Tuple{UnitRange{Int64},UnitRange{Int64}},false},SubArray{Float64,2,LinearAlgebra.Adjoint{Float64,Array{Float64,1}},Tuple{UnitRange{Int64},UnitRange{Int64}},false},SubArray{Float64,2,Array{Float64,2},Tuple{UnitRange{Int64},UnitRange{Int64}},false},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,282
Gaius,gemm_kernel!,true,true,0,1,Nothing,"Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Float64,VectorizationBase.StridedPointer{Float64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/kernels.jl,1
Gaius,block_covec_vec_mul_add!,true,true,0,1,Nothing,"Gaius.Singlethreaded,Gaius.PointerMatrix{Int64,VectorizationBase.StridedPointer{Int64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{1},ArrayInterface.StaticInt{1}}}},Gaius.PointerMatrix{Int64,VectorizationBase.StridedPointer{Int64,2,1,0,(1, 2),Tuple{ArrayInterface.StaticInt{8},Int64},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Gaius.PointerMatrix{Int64,VectorizationBase.StridedPointer{Int64,2,2,0,(2, 1),Tuple{Int64,ArrayInterface.StaticInt{8}},Tuple{ArrayInterface.StaticInt{0},ArrayInterface.StaticInt{0}}}},Int64,Val{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Gaius/depot/packages/Gaius/qDndx/src/block_operations.jl,432
